producto_id,user_id,tipo_producto,fecha_apertura,estatus,limite_credito,saldo_actual,utilizacion_pct,tasa_interes_anual,plazo_meses,monto_mensualidad,fecha_ultimo_movimiento,antiguedad_dias,dias_sin_movimiento,ratio_deuda,es_inactivo,carga_mensual_ratio
PRD-00000212,USR-00082,tarjeta_credito_hey,2024-11-10,activo,97000.0,20709.5,0.2135,35.69,,,2025-11-05,531,171,0.2135,1,
PRD-00000214,USR-00083,tarjeta_credito_hey,2025-08-08,revision_de_pagos,77000.0,76407.1,0.9923,29.28,,,2025-09-09,260,228,0.9923,1,
PRD-00000215,USR-00083,tarjeta_credito_garantizada,2022-05-27,activo,2000.0,1720.8,0.8604,48.79,,,2025-10-08,1429,199,0.8603999999999999,1,
PRD-00000219,USR-00085,tarjeta_credito_hey,2025-11-25,activo,125000.0,112237.5,0.8979,30.03,,,2025-11-27,151,149,0.8979,1,
PRD-00000220,USR-00085,credito_personal,2024-06-21,suspendido,79000.0,72711.6,0.9204,51.65,12.0,7884.93,2025-10-22,673,185,0.9204,1,0.1084411565692406
PRD-00000223,USR-00086,tarjeta_credito_hey,2023-06-04,activo,26000.0,2849.6,0.1096,43.13,,,2025-11-10,1056,166,0.1096,1,
PRD-00000225,USR-00087,tarjeta_credito_hey,2024-03-17,activo,138000.0,81627.0,0.5915,30.38,,,2025-09-26,769,211,0.5915,1,
PRD-00000227,USR-00088,tarjeta_credito_garantizada,2025-03-24,activo,20000.0,9468.0,0.4734,57.25,,,2025-09-03,397,234,0.4734,1,
PRD-00000231,USR-00090,tarjeta_credito_negocios,2025-03-24,activo,293000.0,64342.8,0.2196,48.96,,,2025-09-23,397,214,0.2196,1,
PRD-00000232,USR-00090,credito_personal,2022-05-25,activo,69000.0,30849.9,0.4471,28.9,24.0,1707.49,2025-10-18,1431,189,0.4471,1,0.055348315553697
PRD-00000234,USR-00091,tarjeta_credito_hey,2024-12-27,activo,69000.0,19099.2,0.2768,32.37,,,2025-09-29,484,208,0.2768,1,
PRD-00000238,USR-00093,credito_personal,2023-01-10,activo,74000.0,71817.0,0.9705,24.07,18.0,4792.8,2025-10-22,1201,185,0.9705,1,0.0667362880654998
PRD-00000240,USR-00094,tarjeta_credito_hey,2025-05-28,activo,128000.0,58662.4,0.4583,31.14,,,2025-11-11,332,165,0.4583,1,
PRD-00000243,USR-00095,credito_nomina,2025-05-30,cancelado,52000.0,16931.2,0.3256,21.46,6.0,3001.1,2025-10-23,330,184,0.3256,1,0.1772526460026459
PRD-00000249,USR-00098,tarjeta_credito_hey,2025-02-11,activo,73000.0,21812.4,0.2988,32.33,,,2025-10-23,438,184,0.2988,1,
PRD-00000252,USR-00099,credito_personal,2025-06-03,suspendido,11000.0,8475.5,0.7705,32.65,12.0,837.34,2025-11-24,326,152,0.7705,1,0.0987953513067075
PRD-00000255,USR-00101,tarjeta_credito_hey,2025-07-12,activo,34000.0,6449.8,0.1897,45.82,,,2025-10-25,287,182,0.1897,1,
PRD-00000257,USR-00102,tarjeta_credito_hey,2023-10-26,activo,13000.0,2641.6,0.2032,45.59,,,2025-11-04,912,172,0.2032,1,
PRD-00000264,USR-00106,tarjeta_credito_hey,2025-10-30,activo,48000.0,11779.2,0.2454,42.42,,,2025-11-26,177,150,0.2454,1,
PRD-00000265,USR-00106,credito_nomina,2025-08-30,activo,66000.0,28215.0,0.4275,24.76,18.0,1892.5,2025-10-25,238,182,0.4275,1,0.0670742512847776
PRD-00000268,USR-00107,tarjeta_credito_hey,2023-06-12,activo,127000.0,49758.6,0.3918,28.61,,,2025-10-23,1048,184,0.3918,1,
PRD-00000270,USR-00108,tarjeta_credito_hey,2025-10-04,activo,137000.0,43593.4,0.3182,42.32,,,2025-11-19,203,157,0.3182,1,
PRD-00000273,USR-00109,tarjeta_credito_garantizada,2025-07-13,cancelado,18000.0,1256.4,0.0698,56.87,,,2025-11-28,286,148,0.0698,1,
PRD-00000277,USR-00111,credito_personal,2025-10-25,activo,12000.0,2227.2,0.1856,21.67,24.0,115.18,2025-09-10,182,227,0.1856,1,0.051715158045977
PRD-00000284,USR-00114,tarjeta_credito_hey,2025-07-16,activo,41000.0,11393.9,0.2779,38.14,,,2025-09-21,283,216,0.2779,1,
PRD-00000287,USR-00115,tarjeta_credito_hey,2025-08-19,activo,17000.0,3167.1,0.1863,34.85,,,2025-10-23,249,184,0.1863,1,
PRD-00000288,USR-00115,credito_nomina,2024-05-11,activo,5000.0,2797.5,0.5595,24.57,24.0,148.7,2025-10-24,714,183,0.5595,1,0.0531546023235031
PRD-00000292,USR-00117,tarjeta_credito_hey,2024-12-27,activo,128000.0,32729.6,0.2557,45.41,,,2025-11-21,484,155,0.2557,1,
PRD-00000294,USR-00118,tarjeta_credito_hey,2024-10-12,suspendido,21000.0,8385.3,0.3993,31.18,,,2025-09-02,560,235,0.3993,1,
PRD-00000297,USR-00119,credito_personal,2023-10-14,suspendido,49000.0,47824.0,0.976,39.51,36.0,2287.16,2025-10-16,924,191,0.976,1,0.0478245232519237
PRD-00000299,USR-00120,credito_personal,2025-08-27,activo,35000.0,11781.0,0.3366,23.78,12.0,1112.75,2025-10-25,241,182,0.3366,1,0.0944529326882268
PRD-00000300,USR-00120,credito_auto,2025-04-29,activo,295000.0,78529.0,0.2662,18.63,60.0,2021.13,2025-10-29,361,178,0.2662,1,0.0257373709075628
PRD-00000302,USR-00121,tarjeta_credito_hey,2024-02-07,activo,92000.0,40516.8,0.4404,41.27,,,2025-11-13,808,163,0.4404,1,
PRD-00000303,USR-00121,credito_nomina,2024-02-02,activo,71000.0,14235.5,0.2005,33.0,18.0,1013.29,2025-09-11,813,226,0.2005,1,0.0711804994555863
PRD-00000307,USR-00123,tarjeta_credito_hey,2023-12-10,activo,26000.0,9196.2,0.3537,37.12,,,2025-09-21,867,216,0.3537,1,
PRD-00000310,USR-00125,tarjeta_credito_hey,2025-01-04,activo,128000.0,77516.8,0.6056,39.29,,,2025-10-23,476,184,0.6056,1,
PRD-00000314,USR-00127,credito_nomina,2023-11-04,activo,43000.0,7735.7,0.1799,21.58,24.0,399.71,2025-10-11,903,196,0.1799,1,0.0516708248768695
PRD-00000316,USR-00128,tarjeta_credito_hey,2025-06-07,activo,50000.0,35230.0,0.7046,45.06,,,2025-10-28,322,179,0.7046,1,
PRD-00000319,USR-00129,tarjeta_credito_hey,2025-11-16,activo,144000.0,13881.6,0.0964,31.96,,,2025-11-23,160,153,0.0964,1,
PRD-00000323,USR-00130,tarjeta_credito_hey,2025-08-11,activo,65000.0,5330.0,0.082,36.13,,,2025-11-08,257,168,0.082,1,
PRD-00000328,USR-00132,credito_nomina,2024-06-25,activo,18000.0,8650.8,0.4806,18.69,6.0,1521.41,2025-10-04,669,203,0.4805999999999999,1,0.1758692837656633
PRD-00000330,USR-00133,tarjeta_credito_garantizada,2023-08-10,activo,6000.0,5935.2,0.9892,63.95,,,2025-09-24,989,213,0.9892,1,
PRD-00000331,USR-00133,credito_personal,2023-04-02,activo,10000.0,9330.0,0.933,45.72,12.0,983.2,2025-11-28,1119,148,0.933,1,0.1053804930332261
PRD-00000334,USR-00134,tarjeta_credito_hey,2024-09-05,activo,12000.0,4056.0,0.338,40.21,,,2025-09-10,597,227,0.338,1,
PRD-00000335,USR-00134,credito_auto,2025-09-16,activo,475000.0,114095.0,0.2402,16.31,48.0,3251.63,2025-10-26,221,181,0.2402,1,0.0284993207414873
PRD-00000337,USR-00135,tarjeta_credito_hey,2025-11-14,activo,65000.0,26786.5,0.4121,29.37,,,2025-11-11,162,165,0.4121,1,
PRD-00000342,USR-00138,tarjeta_credito_hey,2025-07-01,activo,107000.0,13482.0,0.126,31.17,,,2025-09-04,298,233,0.126,1,
PRD-00000345,USR-00139,credito_auto,2025-09-20,activo,322000.0,114277.8,0.3549,21.85,60.0,3146.49,2025-10-23,217,184,0.3549,1,0.0275336942083239
PRD-00000347,USR-00140,tarjeta_credito_hey,2024-06-12,activo,110000.0,53075.0,0.4825,41.21,,,2025-09-26,682,211,0.4825,1,
PRD-00000348,USR-00140,credito_nomina,2024-10-03,activo,51000.0,26856.6,0.5266,30.31,6.0,4880.03,2025-11-26,569,150,0.5266,1,0.1817069174802469
PRD-00000352,USR-00142,tarjeta_credito_garantizada,2022-08-15,cancelado,11000.0,594.0,0.054,56.35,,,2025-10-20,1349,187,0.054,1,
PRD-00000356,USR-00144,tarjeta_credito_hey,2022-10-04,activo,12000.0,669.6,0.0558,44.31,,,2025-09-15,1299,222,0.0558,1,
PRD-00000359,USR-00145,tarjeta_credito_hey,2024-07-19,activo,143000.0,8565.7,0.0599,39.95,,,2025-10-03,645,204,0.0599,1,
PRD-00000362,USR-00146,tarjeta_credito_hey,2024-11-30,activo,121000.0,38828.9,0.3209,44.49,,,2025-11-23,511,153,0.3209,1,
PRD-00000365,USR-00148,tarjeta_credito_garantizada,2025-08-21,revision_de_pagos,3000.0,2272.8,0.7576,48.08,,,2025-09-03,247,234,0.7576,1,
PRD-00000366,USR-00148,credito_personal,2025-09-14,activo,93000.0,66522.9,0.7153,21.68,36.0,2529.54,2025-10-10,223,197,0.7152999999999999,1,0.0380251011305881
PRD-00000369,USR-00149,tarjeta_credito_hey,2023-10-24,activo,12000.0,3320.4,0.2767,45.65,,,2025-09-15,914,222,0.2767,1,
PRD-00000372,USR-00150,tarjeta_credito_negocios,2023-01-19,suspendido,252000.0,104882.4,0.4162,39.33,,,2025-09-02,1192,235,0.4161999999999999,1,
PRD-00000377,USR-00152,tarjeta_credito_negocios,2024-02-14,activo,478000.0,172605.8,0.3611,46.04,,,2025-09-24,801,213,0.3611,1,
PRD-00000379,USR-00153,tarjeta_credito_garantizada,2025-11-03,cancelado,11000.0,1868.9,0.1699,49.59,,,2025-11-03,173,173,0.1699,1,
PRD-00000383,USR-00155,tarjeta_credito_hey,2024-03-26,suspendido,122000.0,24082.8,0.1974,39.14,,,2025-10-16,760,191,0.1974,1,
PRD-00000387,USR-00157,tarjeta_credito_hey,2024-09-04,activo,114000.0,12836.4,0.1126,30.34,,,2025-10-26,598,181,0.1125999999999999,1,
PRD-00000388,USR-00157,credito_auto,2025-09-12,activo,277000.0,45206.4,0.1632,17.8,36.0,1629.79,2025-11-09,225,167,0.1632,1,0.0360521961492178
PRD-00000390,USR-00158,tarjeta_credito_hey,2025-08-03,activo,57000.0,31236.0,0.548,38.62,,,2025-10-20,265,187,0.548,1,
PRD-00000394,USR-00160,tarjeta_credito_hey,2024-02-26,activo,125000.0,25375.0,0.203,31.7,,,2025-10-09,789,198,0.203,1,
PRD-00000397,USR-00162,credito_nomina,2025-11-02,activo,32000.0,15814.4,0.4942,20.18,6.0,2793.02,2025-11-26,174,150,0.4942,1,0.1766124544718737
PRD-00000400,USR-00163,tarjeta_credito_hey,2025-10-24,activo,8000.0,884.8,0.1106,39.21,,,2025-09-29,183,208,0.1105999999999999,1,
PRD-00000404,USR-00164,tarjeta_credito_negocios,2025-11-15,activo,402000.0,130248.0,0.324,34.44,,,2025-10-31,161,176,0.324,1,
PRD-00000405,USR-00164,credito_auto,2025-02-04,activo,129000.0,31656.6,0.2454,16.78,24.0,1561.83,2025-11-24,445,152,0.2453999999999999,1,0.0493366312238206
PRD-00000408,USR-00165,tarjeta_credito_hey,2025-11-24,activo,54000.0,6669.0,0.1235,44.2,,,2025-09-06,152,231,0.1235,1,
PRD-00000410,USR-00166,tarjeta_credito_hey,2025-11-25,activo,98000.0,20678.0,0.211,41.32,,,2025-11-04,151,172,0.211,1,
PRD-00000411,USR-00166,credito_auto,2025-10-12,activo,118000.0,30090.0,0.255,21.54,36.0,1142.0,2025-09-03,195,234,0.255,1,0.0379528082419408
PRD-00000413,USR-00167,tarjeta_credito_hey,2025-08-08,activo,7000.0,2358.3,0.3369,30.09,,,2025-09-30,260,207,0.3369,1,
PRD-00000416,USR-00168,credito_nomina,2023-07-03,activo,31000.0,8295.6,0.2676,26.85,6.0,1492.87,2025-09-08,1027,229,0.2676,1,0.1799592555089444
PRD-00000421,USR-00170,tarjeta_credito_hey,2025-09-21,activo,99000.0,28472.4,0.2876,34.43,,,2025-11-02,216,174,0.2876,1,
PRD-00000424,USR-00171,credito_nomina,2024-07-04,activo,11000.0,2384.8,0.2168,21.45,6.0,422.7,2025-11-24,660,152,0.2168,1,0.1772475679302247
PRD-00000428,USR-00172,tarjeta_credito_negocios,2025-05-11,activo,346000.0,120131.2,0.3472,54.06,,,2025-10-08,349,199,0.3472,1,
PRD-00000429,USR-00172,credito_auto,2025-02-06,activo,254000.0,42672.0,0.168,21.85,24.0,2210.58,2025-09-18,443,219,0.168,1,0.0518039932508436
PRD-00000431,USR-00173,tarjeta_credito_hey,2025-04-29,activo,57000.0,11263.2,0.1976,34.86,,,2025-10-06,361,201,0.1976,1,
PRD-00000432,USR-00173,credito_nomina,2024-04-23,activo,12000.0,3928.8,0.3274,17.98,24.0,196.1,2025-11-26,732,150,0.3274,1,0.0499134595805334
PRD-00000435,USR-00174,credito_personal,2025-10-24,activo,84000.0,71526.0,0.8515,23.55,18.0,4755.22,2025-10-23,183,184,0.8515,1,0.0664823980091155
PRD-00000437,USR-00175,tarjeta_credito_hey,2025-10-17,revision_de_pagos,101000.0,76305.5,0.7555,29.63,,,2025-09-29,190,208,0.7555,1,
PRD-00000438,USR-00175,credito_personal,2025-10-31,suspendido,80000.0,78632.0,0.9829,30.99,24.0,4436.71,2025-11-13,176,163,0.9829,1,0.0564237206226472
PRD-00000440,USR-00176,tarjeta_credito_garantizada,2024-01-24,cancelado,15000.0,3238.5,0.2159,59.9,,,2025-09-08,822,229,0.2159,1,
PRD-00000442,USR-00177,tarjeta_credito_hey,2025-10-27,activo,29000.0,16521.3,0.5697,33.47,,,2025-09-30,180,207,0.5697,1,
